1986_LST,1990_LST,2017_LST,NDBI_1986,NDBI_1990,NDBI_2017,NDLI_1986,NDLI_1990,NDLI_2017,NDVI_1986,NDVI_1990,NDVI_2017,,,LST,1986,1990,2017
23.595,21.633,26.235,-0.094,-0.166,-0.158,0.013,0.040,0.014,0.528,0.555,0.638,,CORRELATIOn,NDBI,0.515964525,0.64364635,0.574020403
28.183,23.878,26.812,0.166,0.178,0.101,-0.046,-0.033,-0.039,0.308,0.283,0.338,,,NDLI,-0.36577728,-0.604394553,-0.44075121
25.615,22.535,27.874,0.098,-0.018,0.057,-0.011,-0.020,-0.043,0.303,0.357,0.313,,,NDVI,-0.327901948,-0.252139705,-0.180392665
26.483,22.479,26.730,0.133,-0.059,0.017,-0.009,0.015,-0.014,0.277,0.470,0.467,,,,,,
24.690,22.613,27.226,-0.006,-0.120,-0.195,0.001,0.016,0.019,0.443,0.518,0.664,,,,,,
25.841,23.822,26.899,-0.085,-0.028,-0.137,0.013,-0.015,0.001,0.535,0.433,0.534,,,,,,
24.748,23.878,27.108,0.079,-0.008,0.007,-0.021,-0.020,-0.015,0.300,0.285,0.396,,,,,,
26.018,25.563,28.070,0.041,0.006,0.017,-0.010,-0.004,-0.008,0.387,0.433,0.543,,,,,,
29.015,23.831,27.416,0.104,0.048,0.017,-0.028,0.002,-0.020,0.351,0.415,0.471,,,,,,
24.922,21.848,25.576,-0.433,-0.319,-0.404,0.023,0.048,0.003,-0.028,-0.028,-0.091,,,,,,
23.465,21.612,25.985,-0.067,-0.093,-0.205,0.013,0.012,0.018,0.514,0.505,0.661,,,,,,
25.334,23.796,27.017,-0.047,-0.084,-0.090,0.000,-0.012,0.015,0.527,0.477,0.618,,,,,,
26.489,23.445,27.635,0.190,0.072,0.162,-0.057,-0.032,-0.057,0.232,0.244,0.206,,,,,,
26.847,23.378,28.396,0.051,-0.046,0.043,0.003,0.006,-0.006,0.445,0.441,0.476,,,,,,
26.886,25.617,28.788,0.102,0.097,0.145,-0.027,-0.038,-0.054,0.365,0.298,0.249,,,,,,
25.136,23.382,27.159,0.045,-0.015,-0.107,0.003,-0.006,0.010,0.423,0.434,0.630,,,,,,
24.281,21.652,26.521,-0.053,-0.027,0.031,0.015,-0.007,-0.029,0.389,0.336,0.330,,,,,,
24.664,22.177,26.899,-0.023,-0.233,-0.242,0.002,0.012,0.027,0.485,0.565,0.684,,,,,,
26.471,23.423,27.627,0.137,0.065,0.074,-0.039,-0.013,-0.027,0.327,0.343,0.416,,,,,,
26.421,23.798,27.146,0.084,0.003,-0.099,-0.018,0.006,0.014,0.440,0.473,0.602,,,,,,
27.340,24.751,28.881,0.239,0.166,0.123,-0.044,-0.035,-0.033,0.276,0.287,0.373,,,,,,
25.375,22.289,25.626,-0.463,-0.299,-0.376,-0.004,0.043,0.006,-0.021,0.079,-0.012,,,,,,
26.411,23.835,26.259,0.060,0.027,-0.015,0.003,-0.007,-0.001,0.457,0.408,0.516,,,,,,
23.564,22.531,25.957,-0.185,-0.197,0.060,0.015,0.010,-0.020,0.525,0.508,0.387,,,,,,
28.512,24.280,30.227,-0.015,0.063,-0.055,0.001,-0.007,-0.005,0.499,0.392,0.553,,,,,,
26.420,24.256,26.587,0.030,-0.044,0.129,0.003,-0.003,-0.038,0.442,0.439,0.373,,,,,,
28.162,26.058,28.063,0.138,0.151,0.100,-0.017,-0.044,-0.053,0.370,0.238,0.335,,,,,,
29.879,23.414,28.844,0.168,0.075,0.105,-0.011,-0.017,-0.020,0.249,0.366,0.382,,,,,,
25.539,22.903,27.174,0.023,-0.131,0.043,0.000,0.004,-0.029,0.473,0.497,0.356,,,,,,
29.858,24.304,26.888,0.162,0.029,0.101,-0.023,-0.021,-0.021,0.342,0.328,0.389,,,,,,
30.715,23.869,28.452,0.166,0.109,0.029,-0.019,-0.020,-0.029,0.236,0.321,0.382,,,,,,
23.421,23.425,27.348,-0.017,0.075,0.108,-0.024,-0.022,-0.047,0.349,0.336,0.306,,,,,,
25.870,23.310,27.676,-0.027,-0.151,0.059,0.012,0.014,-0.012,0.538,0.545,0.444,,,,,,
24.674,23.407,27.355,0.007,0.045,-0.007,0.001,-0.010,-0.012,0.469,0.383,0.514,,,,,,
26.658,24.234,27.586,-0.047,-0.096,0.027,0.012,0.004,-0.056,0.530,0.475,0.351,,,,,,
26.486,24.754,28.583,0.178,0.095,0.188,-0.049,-0.036,-0.050,0.258,0.269,0.243,,,,,,
26.872,22.940,27.071,0.177,-0.020,-0.030,-0.027,-0.005,-0.011,0.397,0.437,0.508,,,,,,
29.037,24.296,27.185,0.249,0.037,0.018,-0.044,-0.023,-0.032,0.268,0.354,0.398,,,,,,
27.327,22.995,25.317,0.116,0.107,-0.058,0.001,-0.025,0.004,0.327,0.298,0.542,,,,,,
24.934,21.848,25.434,-0.434,-0.345,-0.393,0.026,0.003,0.001,-0.058,0.001,-0.089,,,,,,
28.146,24.716,27.975,0.150,0.057,0.038,-0.008,-0.007,-0.030,0.405,0.393,0.398,,,,,,
25.110,22.464,26.784,-0.002,-0.128,-0.154,0.000,0.003,0.009,0.467,0.492,0.607,,,,,,
25.872,22.771,25.513,-0.369,-0.216,-0.395,-0.056,0.010,-0.008,-0.048,0.060,-0.050,,,,,,
24.692,22.169,26.839,0.050,-0.074,-0.112,0.002,0.016,0.016,0.440,0.518,0.660,,,,,,
26.015,23.406,27.576,0.106,0.062,0.073,-0.018,-0.012,-0.024,0.394,0.386,0.387,,,,,,
25.535,22.465,26.721,0.090,-0.086,-0.196,0.001,0.001,0.016,0.480,0.491,0.630,,,,,,
24.687,22.478,25.430,-0.128,-0.148,-0.138,-0.003,0.029,0.006,0.504,0.471,0.572,,,,,,
23.378,22.041,26.116,-0.008,-0.046,-0.207,0.013,0.015,0.023,0.442,0.459,0.644,,,,,,
26.385,23.868,26.622,0.062,0.138,-0.078,-0.004,-0.028,-0.032,0.497,0.325,0.462,,,,,,
26.443,22.914,28.070,0.028,-0.058,0.089,-0.024,0.006,-0.032,0.399,0.479,0.318,,,,,,
26.019,23.388,25.874,0.055,-0.022,-0.028,-0.007,-0.007,-0.031,0.384,0.424,0.449,,,,,,
23.477,22.229,26.100,-0.140,-0.138,-0.123,0.013,0.018,0.001,0.561,0.524,0.580,,,,,,
26.015,22.971,27.532,0.025,-0.029,0.058,0.009,0.028,-0.027,0.393,0.373,0.299,,,,,,
27.316,22.974,27.045,0.191,0.113,0.035,-0.024,-0.009,-0.020,0.360,0.365,0.480,,,,,,
27.728,23.427,27.502,0.144,-0.013,0.064,-0.016,-0.014,-0.028,0.391,0.330,0.345,,,,,,
25.106,23.353,27.567,0.015,-0.047,0.037,0.012,0.028,-0.019,0.474,0.483,0.494,,,,,,
26.469,23.885,27.833,0.126,0.070,0.091,-0.032,-0.026,-0.032,0.332,0.236,0.366,,,,,,
25.105,21.613,26.217,-0.020,-0.069,-0.133,-0.018,0.014,-0.007,0.475,0.430,0.524,,,,,,
26.865,22.975,26.687,0.079,0.021,-0.025,0.004,-0.001,0.004,0.412,0.362,0.515,,,,,,
26.040,22.513,26.555,0.126,-0.005,-0.003,0.003,-0.005,-0.002,0.329,0.407,0.511,,,,,,
29.908,27.709,30.683,0.150,0.071,0.124,-0.026,-0.001,-0.032,0.163,0.173,0.199,,,,,,
28.618,22.939,28.590,0.151,-0.009,0.012,-0.024,0.010,-0.008,0.247,0.439,0.423,,,,,,
26.003,24.735,26.850,0.081,0.081,0.106,-0.005,-0.014,-0.043,0.419,0.347,0.337,,,,,,
26.304,23.385,27.133,-0.131,-0.048,0.062,0.027,-0.005,-0.039,0.538,0.430,0.383,,,,,,
26.848,23.831,26.052,0.039,0.000,0.018,0.001,-0.013,-0.027,0.444,0.416,0.355,,,,,,
25.587,22.943,26.166,0.073,0.000,-0.104,-0.009,0.001,0.009,0.386,0.431,0.590,,,,,,
25.560,23.497,28.483,-0.068,-0.105,-0.028,0.012,-0.001,-0.006,0.505,0.518,0.551,,,,,,
27.338,22.534,26.423,0.149,0.058,0.031,-0.010,-0.003,-0.025,0.283,0.360,0.450,,,,,,
24.219,21.838,26.981,-0.111,-0.150,-0.184,0.000,0.016,0.023,0.498,0.530,0.663,,,,,,
28.120,23.405,27.074,0.088,0.069,0.094,-0.012,-0.021,-0.048,0.453,0.389,0.350,,,,,,
25.994,23.378,27.173,0.044,0.003,-0.008,0.002,-0.003,0.003,0.435,0.441,0.532,,,,,,
25.093,23.348,27.990,0.004,-0.070,-0.043,0.001,-0.009,-0.001,0.493,0.489,0.571,,,,,,
26.006,23.831,27.318,0.044,-0.008,-0.003,0.003,-0.006,-0.009,0.413,0.417,0.484,,,,,,
28.176,23.403,28.786,0.118,0.062,0.093,-0.011,-0.017,-0.032,0.331,0.392,0.280,,,,,,
23.879,22.498,27.380,-0.016,-0.080,-0.141,0.011,0.017,0.011,0.511,0.505,0.639,,,,,,
25.610,24.760,30.020,0.091,0.155,0.187,-0.033,-0.042,-0.063,0.322,0.219,0.174,,,,,,
26.837,23.408,28.912,0.022,0.006,0.127,0.003,-0.013,-0.040,0.461,0.381,0.353,,,,,,
26.026,22.535,25.770,0.110,0.044,-0.084,-0.019,-0.021,0.001,0.368,0.355,0.564,,,,,,
29.042,23.396,25.883,0.170,0.030,0.001,0.000,-0.003,-0.006,0.222,0.408,0.493,,,,,,
25.139,22.499,27.254,-0.006,-0.015,-0.015,-0.011,0.004,-0.005,0.417,0.435,0.528,,,,,,
24.685,21.619,25.359,0.025,-0.059,-0.026,0.012,0.002,-0.001,0.452,0.417,0.547,,,,,,
26.055,23.366,28.410,-0.050,-0.032,0.051,0.012,0.009,-0.032,0.556,0.462,0.315,,,,,,
